,PLAYER_ID,POSITIONS,HEIGHT,WEIGHT,SALARY,FIRST_YEAR
0,50001_강병철_1946년,(우투우타),176cm,80kg,0,0
1,50002_이희수_1948년,(우투우타),170cm,68kg,0,0
2,50003_이충순_1900년,(),0cm,0kg,0,0
3,50004_백기성_1949년,(우투우타),173cm,75kg,0,0
4,50007_문상준_2001년,내야수(우투우타),183cm,80kg,2700만원,0
5,50008_여도건_2000년,투수(좌투좌타),182cm,95kg,2700만원,0
6,50009_최지효_2001년,내야수(우투우타),170cm,80kg,2700만원,20KT
7,50010_고영찬_1999년,투수(우투우타),183cm,78kg,2700만원,0
8,50011_최태성_1997년,외야수(우투좌타),182cm,82kg,2700만원,0
9,50012_이승주_1997년,외야수(우투우타),180cm,83kg,2700만원,0
10,50013_김경민_1997년,외야수(우투좌타),174cm,87kg,2700만원,0
11,50014_윤종휘_1996년,내야수(우투우타),168cm,70kg,2700만원,0
12,50015_박성현_1997년,내야수(우투우타),175cm,84kg,2700만원,0
13,50030_소형준_2001년,투수(우투우타),189cm,92kg,2700만원,20KT
14,50036_이강준_2001년,투수(우투우타),184cm,80kg,2700만원,20KT
15,50040_데스파이네_1987년,투수(우투우타),182cm,92kg,450000달러,20KT
16,50054_천성호_1997년,내야수(우투좌타),183cm,85kg,2700만원,20KT
17,50066_강현우_2001년,포수(우투우타),180cm,90kg,2700만원,20KT
18,50092_윤준혁_2001년,내야수(우투우타),186cm,86kg,2700만원,20KT
19,50093_김성균_2001년,내야수(좌투좌타),185cm,93kg,2700만원,0
20,50094_서경찬_2001년,투수(우투우타),188cm,96kg,2700만원,0
21,50096_한지용_2001년,포수(우투좌타),184cm,90kg,2700만원,20KT
22,50098_이상원_1980년,(),183cm,115kg,0,20KT코치
23,50099_강권민_1988년,(),174cm,72kg,0,20KT코치
24,50101_신익섭_1992년,(),167cm,68kg,0,20상무코치
25,50105_강민_2001년,투수(우투우타),188cm,88kg,2700만원,0
26,50106_유영찬_1997년,투수(우투우타),185cm,90kg,2700만원,0
27,50107_하영진_2001년,투수(우투우타),182cm,80kg,2700만원,0
28,50108_함창건_2001년,외야수(좌투좌타),176cm,83kg,2700만원,0
29,50109_성재헌_1997년,투수(좌투좌타),175cm,82kg,2700만원,0
30,50110_이정우_2001년,외야수(우투우타),182cm,84kg,2700만원,0
31,50112_박찬호_2001년,투수(우투우타),190cm,82kg,2700만원,0
32,50114_조용근_1996년,투수(우투우타),187cm,100kg,2700만원,0
33,50115_김태우_1997년,내야수(우투우타),178cm,81kg,2700만원,0
34,50116_김도환_1999년,외야수(좌투좌타),180cm,80kg,2700만원,0
35,50126_이민호_2001년,투수(우투우타),189cm,93kg,2700만원,20LG
36,50150_손호영_1994년,내야수(우투우타),182cm,88kg,2700만원,20LG
37,50157_김윤식_2000년,투수(좌투좌타),181cm,83kg,2700만원,20LG
38,50165_라모스_1994년,내야수(우투좌타),193cm,115kg,300000달러,20LG
39,50167_이주형_2001년,내야수(우투좌타),183cm,80kg,2700만원,20LG
40,50200_장원석_1994년,(),174cm,75kg,0,20두산코치
41,50201_조광희_1994년,(),178cm,71kg,0,20두산코치
42,50202_안권수_1993년,외야수(우투좌타),175cm,80kg,2700만원,20두산
43,50203_권휘_2000년,투수(우투우타),181cm,87kg,2700만원,0
44,50204_박지훈_2000년,내야수(우투우타),183cm,80kg,2700만원,20두산
45,50205_박웅_1997년,투수(우투우타),192cm,103kg,2700만원,0
46,50206_최종인_2001년,투수(우투우타),185cm,84kg,2700만원,0
47,50207_지원근_1996년,포수(우투우타),175cm,80kg,2700만원,0
48,50208_오명진_2001년,내야수(우투좌타),179cm,79kg,2700만원,20두산
49,50209_구장익_1999년,내야수(우투우타),178cm,105kg,2700만원,0
50,50211_제환유_2000년,투수(우투좌타),183cm,76kg,2700만원,20두산
51,50214_김도경_1997년,외야수(우투우타),173cm,93kg,2700만원,0
52,50234_플렉센_1994년,투수(우투우타),191cm,113kg,600000달러,20두산
53,50244_장규빈_2001년,포수(우투우타),186cm,98kg,2700만원,20두산
54,50262_이주엽_2001년,투수(우투우타),188cm,90kg,2700만원,20두산
55,50293_양찬열_1997년,외야수(우투좌타),179cm,84kg,2700만원,20두산
56,50294_김성민_2000년,투수(좌투좌타),182cm,95kg,2700만원,0
57,50296_조제영_2001년,투수(우투우타),182cm,89kg,2700만원,20두산
58,50298_최세창_2001년,투수(우투우타),187cm,95kg,2700만원,20두산
59,50300_모터_1989년,내야수(우투우타),185cm,88kg,200000달러,20키움
60,50304_김병휘_2001년,내야수(우투우타),177cm,79kg,2700만원,20키움
61,50312_신준우_2001년,내야수(우투우타),176cm,83kg,2700만원,0
